,Country,Year,df_CO2AVBUNK,df_CO2GDP,df_CO2GDPPPP,df_CO2MARBUNK,df_CO2POP,df_CO2TES,df_GHGFC,df_GHGFugi,df_GHGFCOil,df_GHGFCGas,df_GHGEnergy,df_GHGFCCoal
181,Lithuania,1972,..,..,..,..,..,..,..,..,..,..,..,..
182,Luxembourg,1972,0.135277869,1.267,1.238,0,46.449,92.483,16.1769988,..,4.383589281,0.265404183,..,11.52800533
183,Netherlands,1972,2.204471412,0.479,0.43,35.34771583,10.691,58.281,143.524891,225.0366973,67.47703815,61.62745169,143.7499277,14.42040111
184,Norway,1972,0.860860121,0.204,0.252,2.105720915,5.99,40.84,23.82862933,1143.918039,19.70663863,0,24.97254736,4.1219907
185,Poland,1972,0.56278194,2.166,1.014,1.614642399,9.059,80.441,304.6072708,857.48786,25.16127751,10.79144451,305.4647587,266.8631737
186,Portugal,1972,0.845487582,0.202,0.131,2.25414939,1.67,54.029,14.84164221,..,13.03238081,0,..,1.680175329
187,Slovak Republic,1972,0,1.069,0.582,0,8.55,63.318,39.64935285,..,12.27158183,2.893664522,..,24.41900216
188,Slovenia,1972,..,..,..,..,..,..,..,0,..,..,..,..
189,Spain,1972,1.887748439,0.289,0.213,6.854763275,3.578,66.595,126.3888472,..,85.50973899,1.341779543,..,39.53618287
190,Sweden,1972,0.341269361,0.427,0.449,3.897903433,10.117,53.376,83.22572589,16.17681,78.30741711,0,83.2419027,4.59855068
191,Switzerland,1972,1.992275981,0.11,0.141,0,6.153,55.087,39.96087167,..,38.137377,0.144763021,..,1.598504472
192,Republic of Türkiye,1972,0.132203481,0.327,0.14,0.325504695,1.321,53.08,52.23759032,..,29.51526858,0,..,20.44879006
193,United Kingdom,1972,7.637058027,0.481,0.509,16.22021219,10.736,68.428,610.3807213,4329.71119,269.6976339,35.66521456,614.7104325,305.0178728
194,Albania,1972,0,1.4,0.475,0,1.982,54.694,4.626608122,..,2.858189772,0.289073376,..,1.342819748
195,Armenia,1972,..,..,..,..,..,..,..,..,..,..,..,..
196,Azerbaijan,1972,..,..,..,..,..,..,..,44422.21421,..,..,44.42221421,..
197,Belarus,1972,..,..,..,..,..,..,..,..,..,..,..,..
198,Bosnia and Herzegovina,1972,..,..,..,..,..,..,..,..,..,..,..,..
199,Bulgaria,1972,0.614900087,3.694,1.421,0,7.681,81.075,66.66115175,..,30.7789692,0.396268274,..,35.39379645
200,Croatia,1972,..,..,..,..,..,..,..,..,..,..,..,..
201,Cyprus,1972,0.187544564,0.766,0.563,0.018758293,3.484,69.444,2.194470358,..,2.190678468,0,..,0.002697138
202,Georgia,1972,..,..,..,..,..,..,..,..,..,..,..,..
203,Gibraltar,1972,0.018446928,0.125,0.153,3.670453878,2.194,57.785,0.059928138,..,0.059928138,0,..,0
204,Kazakhstan,1972,..,..,..,..,..,..,..,13418.45443,..,..,13.41845443,..
205,Kosovo,1972,..,..,..,..,..,..,..,..,..,..,..,..
206,Kyrgyzstan,1972,..,..,..,..,..,..,..,..,..,..,..,..
207,Malta,1972,0.166022949,0.776,0.517,0.084562384,2.743,74.925,0.836443302,..,0.836443302,0,..,0
208,Republic of Moldova,1972,..,..,..,..,..,..,..,..,..,..,..,..
209,Montenegro,1972,..,..,..,..,..,..,..,..,..,..,..,..
210,Republic of North Macedonia,1972,..,..,..,..,..,..,..,..,..,..,..,..
211,Romania,1972,0.05851995,2.028,0.841,0,5.729,64.179,119.589309,10483.84953,31.97586965,53.20133467,130.0731585,33.87738152
212,Russian Federation,1972,..,..,..,..,..,..,..,228999.9445,..,..,228.9999445,..
213,Serbia,1972,..,..,..,..,..,..,..,..,..,..,..,..
214,Tajikistan,1972,..,..,..,..,..,..,..,..,..,..,..,..
215,Turkmenistan,1972,..,..,..,..,..,..,..,28354.8473,..,..,28.3548473,..
216,Ukraine,1972,..,..,..,..,..,..,..,1841.65825,..,..,1.84165825,..
217,Uzbekistan,1972,..,..,..,..,..,..,..,4935.196178,..,..,4.935196178,..
